GW,Team Rank,Formation,Total Score,GK Player,GK Club,GK Score,DEF Player,DEF Club,DEF Score,MID Player,MID Club,MID Score,FWD Player,FWD Club,FWD Score,Extra Player,Extra Club,Extra Position,Extra Score
GW 541,2,Extra DEF,262.5,Kasper Schmeichel,Celtic FC,45.2,Dujon Sterling,Rangers FC,58.1,Mohammed Diomandé,Rangers FC,57.4,Václav Černý,Beşiktaş Jimnastik Kulübü,48.6,Cameron Carter-Vickers,Celtic FC,DEF,53.2
GW 541,3,Extra MID,199.4,Ross Doohan,Celtic FC,40.7,Liam Scales,Celtic FC,34.5,Nedim Bajrami,Rangers FC,47.9,Daizen Maeda,Celtic FC,31.1,Paulo Bernardo,Celtic FC,MID,45.2
GW 541,4,Extra MID,95.4,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Alistair Johnston,Celtic FC,16.2,Callum McGregor,Celtic FC,41.2,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Arne Engels,Celtic FC,MID,38.0
GW 540,1,Extra DEF,431.5,Diogo Costa,FC Porto,69.5,Alberto Costa,FC Porto,100.0,Paulo Bernardo,Celtic FC,85.5,Roger Fernandes,Sporting Braga,76.8,Nehuen Pérez,FC Porto,DEF,99.7
GW 540,2,Extra DEF,387.0,Kasper Schmeichel,Celtic FC,63.6,Rıdvan Yılmaz,Beşiktaş Jimnastik Kulübü,87.0,Geny Catamo,Sporting Clube de Portugal,82.2,Amine El Ouazzani,Sporting Braga,72.0,Liam Scales,Celtic FC,DEF,82.2
GW 540,3,Extra MID,364.9,Anatolii Trubin,SL Benfica,55.4,Eduardo Quaresma,Sporting Clube de Portugal,78.7,Reo Hatate,Celtic FC,80.7,Daizen Maeda,Celtic FC,71.1,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,MID,79.0
GW 540,4,Extra DEF,336.7,Devis Vásquez,Beşiktaş Jimnastik Kulübü,42.0,Jan Bednarek,FC Porto,74.9,Arne Engels,Celtic FC,76.1,Samu Omorodion,FC Porto,70.0,Martim Fernandes,FC Porto,DEF,73.7
GW 539,1,Extra DEF,431.6,Kasper Schmeichel,Celtic FC,62.0,Anthony Ralston,Celtic FC,100.0,Callum McGregor,Celtic FC,88.7,Andreas Skov Olsen,Rangers FC,80.9,Liam Scales,Celtic FC,DEF,100.0
GW 539,2,Extra MID,314.5,André Onana,Trabzonspor Kulübü,13.3,Cameron Carter-Vickers,Celtic FC,71.7,Arne Engels,Celtic FC,83.9,Franjo Ivanović,SL Benfica,70.5,Nicolas Raskin,Rangers FC,MID,75.1
GW 539,3,Extra FWD,267.7,Jack Butland,Rangers FC,7.0,Nelson Semedo,Fenerbahçe Spor Kulübü,64.3,Reo Hatate,Celtic FC,68.1,Daizen Maeda,Celtic FC,64.5,Yang Hyun-Jun,Celtic FC,FWD,63.8
GW 539,4,Extra DEF,228.3,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Max Aarons,Rangers FC,61.4,Borja Sainz,FC Porto,52.1,Václav Černý,Beşiktaş Jimnastik Kulübü,54.8,Archibald Brown,Fenerbahçe Spor Kulübü,DEF,60.0
GW 538,1,Extra FWD,453.6,Uğurcan Çakır,Galatasaray Spor Kulübü,78.4,Liam Scales,Celtic FC,99.2,Rodrigo Mora,FC Porto,80.0,Yunus Akgün,Galatasaray Spor Kulübü,100.0,Victor Osimhen,Galatasaray Spor Kulübü,FWD,96.0
GW 538,2,Extra DEF,418.0,Kasper Schmeichel,Celtic FC,69.4,Eren Elmalı,Galatasaray Spor Kulübü,92.8,Gökhan Sazdağı,Beşiktaş Jimnastik Kulübü,78.0,Bruma,SL Benfica,86.0,Tomás Araújo,SL Benfica,DEF,91.8
GW 538,3,Extra DEF,399.8,Anatolii Trubin,SL Benfica,65.7,Leonardo Lelo,Sporting Braga,91.0,Kartal Yılmaz,Beşiktaş Jimnastik Kulübü,74.6,Oliver Antman,Rangers FC,79.8,Ousmane Diomande,Sporting Clube de Portugal,DEF,88.7
GW 538,4,Extra DEF,374.2,Liam Kelly,Rangers FC,65.3,Zeno Debast,Sporting Clube de Portugal,82.6,Nicolas Raskin,Rangers FC,68.3,Noa Lang,Galatasaray Spor Kulübü,78.7,Çağlar Söyüncü,Fenerbahçe Spor Kulübü,DEF,79.3
GW 537,1,Extra MID,330.9,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Alberto Costa,FC Porto,82.9,Enzo Barrenechea,SL Benfica,75.2,Luis Suárez,Sporting Clube de Portugal,100.0,Manu,SL Benfica,MID,72.8
GW 537,2,Extra FWD,239.9,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,João Mendes,Vitória Guimarães SC,49.0,Kochorashvili,Sporting Clube de Portugal,62.6,Fotis Ioannidis,Sporting Clube de Portugal,66.1,Gustavo Silva,Vitória Guimarães SC,FWD,62.2
GW 537,3,Extra DEF,159.1,Alaa Bellaarouch,Sporting Braga,0.0,Óscar Rivas,Vitória Guimarães SC,43.4,João Mendes,Vitória Guimarães SC,46.3,Felipe Augusto,Trabzonspor Kulübü,31.0,Archibald Brown,Fenerbahçe Spor Kulübü,DEF,38.4
GW 537,4,Extra MID,96.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Rafael Pontelo,Sporting Clube de Portugal,21.3,Samu,Vitória Guimarães SC,37.8,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Telmo Arcanjo,Vitória Guimarães SC,MID,36.9
GW 536,1,Extra DEF,452.7,Alexander Schlager,FC Red Bull Salzburg,65.8,Aleksa Terzić,FC Red Bull Salzburg,100.0,Manu,SL Benfica,95.0,Trincão,Sporting Clube de Portugal,95.4,Sikou Niakaté,Sporting Braga,DEF,96.5
GW 536,2,Extra FWD,427.9,Diogo Costa,FC Porto,63.0,Amar Dedić,SL Benfica,87.9,Mads Bidstrup,FC Red Bull Salzburg,91.2,Franjo Ivanović,SL Benfica,94.3,Nene Dorgeles,Fenerbahçe Spor Kulübü,FWD,91.5
GW 536,3,Extra FWD,389.2,Anatolii Trubin,SL Benfica,51.9,Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,86.8,Ege Tıknaz,Sporting Braga,84.1,Ricardo Horta,Sporting Braga,85.8,Oliver Antman,Rangers FC,FWD,80.6
GW 536,4,Extra FWD,360.1,Uğurcan Çakır,Galatasaray Spor Kulübü,50.2,Gustaf Lagerbielke,Sporting Braga,70.6,Kochorashvili,Sporting Clube de Portugal,79.5,Yunus Akgün,Galatasaray Spor Kulübü,80.3,Leroy Sané,Galatasaray Spor Kulübü,FWD,79.5
GW 535,1,Extra DEF,431.3,Anatolii Trubin,SL Benfica,73.6,Alberto Costa,FC Porto,100.0,Tochi Chukwuani,Rangers FC,88.1,Fotis Ioannidis,Sporting Clube de Portugal,76.8,James Tavernier,Rangers FC,DEF,92.8
GW 535,2,Extra MID,369.3,Kasper Schmeichel,Celtic FC,71.7,Auston Trusty,Celtic FC,72.8,Nicolas Raskin,Rangers FC,80.2,Pepê,FC Porto,71.1,Pablo Rosario,FC Porto,MID,73.5
GW 535,3,Extra DEF,356.1,Diogo Costa,FC Porto,69.4,Alexander Bah,SL Benfica,72.4,İsmail Yüksek,Fenerbahçe Spor Kulübü,72.2,Yunus Akgün,Galatasaray Spor Kulübü,71.0,Sacha Boey,Galatasaray Spor Kulübü,DEF,71.1
GW 535,4,Extra DEF,322.1,Lukáš Horníček,Sporting Braga,48.9,Archibald Brown,Fenerbahçe Spor Kulübü,68.7,Geny Catamo,Sporting Clube de Portugal,66.7,Franjo Ivanović,SL Benfica,70.0,Cameron Carter-Vickers,Celtic FC,DEF,67.8
GW 534,1,Extra FWD,470.9,Kasper Schmeichel,Celtic FC,96.4,Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,100.0,James Forrest,Celtic FC,78.7,Roger Fernandes,Sporting Braga,100.0,Noa Lang,Galatasaray Spor Kulübü,FWD,95.8
GW 534,2,Extra DEF,415.3,Anatolii Trubin,SL Benfica,71.1,Nicolás Otamendi,SL Benfica,94.9,Anthony Nwakaeme,Trabzonspor Kulübü,74.7,Bruma,SL Benfica,82.2,Alistair Johnston,Celtic FC,DEF,92.4
GW 534,3,Extra DEF,398.0,Jack Butland,Rangers FC,69.6,Wilfried Singo,Galatasaray Spor Kulübü,91.6,Callum McGregor,Celtic FC,69.5,Yunus Akgün,Galatasaray Spor Kulübü,80.8,James Tavernier,Rangers FC,DEF,86.5
GW 534,4,Extra DEF,377.5,Diogo Costa,FC Porto,67.8,Auston Trusty,Celtic FC,81.2,Arne Engels,Celtic FC,68.8,Dodi Lukébakio,SL Benfica,80.5,Emirhan Topçu,Beşiktaş Jimnastik Kulübü,DEF,79.2
GW 533,1,Extra MID,469.6,Kasper Schmeichel,Celtic FC,79.2,James Tavernier,Rangers FC,100.0,Richard Ríos,SL Benfica,100.0,Václav Černý,Beşiktaş Jimnastik Kulübü,94.6,Nicolas Raskin,Rangers FC,MID,95.8
GW 533,2,Extra DEF,389.1,Alexander Schlager,FC Red Bull Salzburg,65.1,Auston Trusty,Celtic FC,87.6,Wilfred Ndidi,Beşiktaş Jimnastik Kulübü,80.1,Nene Dorgeles,Fenerbahçe Spor Kulübü,69.5,Cameron Carter-Vickers,Celtic FC,DEF,86.8
GW 533,3,Extra DEF,341.8,Jack Butland,Rangers FC,60.0,Alistair Johnston,Celtic FC,74.6,Reo Hatate,Celtic FC,74.4,Pau Víctor,Sporting Braga,60.7,John Souttar,Rangers FC,DEF,72.1
GW 533,4,Extra MID,310.5,André Onana,Trabzonspor Kulübü,50.7,Thiago Silva,FC Porto,70.0,Ilkay Gündogan,Galatasaray Spor Kulübü,65.9,William,FC Porto,60.1,Callum McGregor,Celtic FC,MID,63.8
GW 532,1,Extra DEF,468.7,Anatolii Trubin,SL Benfica,81.6,Liam Scales,Celtic FC,100.0,Luke McCowan,Celtic FC,100.0,Oğuz Aydın,Fenerbahçe Spor Kulübü,91.1,James Tavernier,Rangers FC,DEF,96.0
GW 532,2,Extra DEF,401.4,André Onana,Trabzonspor Kulübü,71.5,Cameron Carter-Vickers,Celtic FC,82.7,Samu,Vitória Guimarães SC,85.4,Andreas Skov Olsen,Rangers FC,79.4,John Souttar,Rangers FC,DEF,82.4
GW 532,3,Extra MID,391.2,Diogo Costa,FC Porto,70.0,Tomás Araújo,SL Benfica,81.6,Mario Lemina,Galatasaray Spor Kulübü,81.0,Dodi Lukébakio,SL Benfica,78.0,Manu,SL Benfica,MID,80.6
GW 532,4,Extra MID,381.9,Jack Butland,Rangers FC,67.9,Alexander Bah,SL Benfica,78.8,Paulo Bernardo,Celtic FC,79.1,Jota Silva,Beşiktaş Jimnastik Kulübü,77.5,Soumaïla Diabaté,FC Red Bull Salzburg,MID,78.6
GW 531,1,Extra MID,411.6,Mert Günok,Fenerbahçe Spor Kulübü,54.5,Sikou Niakaté,Sporting Braga,85.7,Borja Sainz,FC Porto,97.8,Luis Suárez,Sporting Clube de Portugal,83.6,Richard Ríos,SL Benfica,MID,90.0
GW 531,2,Extra DEF,389.5,Jack Butland,Rangers FC,53.9,Thiago Silva,FC Porto,85.7,Rafa,SL Benfica,84.4,Roger Fernandes,Sporting Braga,82.9,Tomás Araújo,SL Benfica,DEF,82.6
GW 531,3,Extra MID,367.8,Alexander Schlager,FC Red Bull Salzburg,48.9,Dujon Sterling,Rangers FC,80.8,Mattéo Guendouzi,Fenerbahçe Spor Kulübü,81.9,Trincão,Sporting Clube de Portugal,76.2,Oleksandr Zubkov,Trabzonspor Kulübü,MID,80.0
GW 531,4,Extra MID,334.8,Kasper Schmeichel,Celtic FC,45.1,Georgios Vagiannidis,Sporting Clube de Portugal,71.1,İsmail Yüksek,Fenerbahçe Spor Kulübü,74.6,Bruma,SL Benfica,69.7,Ilkay Gündogan,Galatasaray Spor Kulübü,MID,74.3
GW 530,1,Extra FWD,448.9,Uğurcan Çakır,Galatasaray Spor Kulübü,79.7,Cameron Carter-Vickers,Celtic FC,93.7,Mario Lemina,Galatasaray Spor Kulübü,88.2,Václav Černý,Beşiktaş Jimnastik Kulübü,100.0,Oğuz Aydın,Fenerbahçe Spor Kulübü,FWD,87.3
GW 530,2,Extra MID,387.0,André Onana,Trabzonspor Kulübü,49.2,Milan Škriniar,Fenerbahçe Spor Kulübü,82.3,Fred,Fenerbahçe Spor Kulübü,85.6,Bojan Miovski,Rangers FC,86.4,Kristjan Asllani,Beşiktaş Jimnastik Kulübü,MID,83.5
GW 530,3,Extra MID,363.4,Kasper Schmeichel,Celtic FC,49.2,Amar Dedić,SL Benfica,79.9,Victor Froholdt,FC Porto,77.8,Oliver Antman,Rangers FC,80.8,Benjamin Bouchouari,Trabzonspor Kulübü,MID,75.7
GW 530,4,Extra MID,337.7,Devis Vásquez,Beşiktaş Jimnastik Kulübü,42.5,Tuur Rommens,Rangers FC,74.3,Kartal Yılmaz,Beşiktaş Jimnastik Kulübü,74.8,Luis Suárez,Sporting Clube de Portugal,72.7,James Forrest,Celtic FC,MID,73.4
GW 529,1,Extra MID,311.5,Ederson,Fenerbahçe Spor Kulübü,42.1,Nicolás Otamendi,SL Benfica,67.1,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,70.4,Noa Lang,Galatasaray Spor Kulübü,67.4,Nedim Bajrami,Rangers FC,MID,64.5
GW 529,2,Extra MID,261.8,Mert Günok,Fenerbahçe Spor Kulübü,39.0,Mert Müldür,Fenerbahçe Spor Kulübü,49.3,Maximiliano Araújo,Sporting Clube de Portugal,61.1,Leroy Sané,Galatasaray Spor Kulübü,51.6,Kristjan Asllani,Beşiktaş Jimnastik Kulübü,MID,60.8
GW 529,3,Extra DEF,208.9,Anatolii Trubin,SL Benfica,9.8,Saracchi,Celtic FC,49.0,Heorhii Sudakov,SL Benfica,60.1,Václav Černý,Beşiktaş Jimnastik Kulübü,42.5,Amar Dedić,SL Benfica,DEF,47.5
GW 529,4,Extra DEF,164.1,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Davinson Sánchez,Galatasaray Spor Kulübü,45.0,İsmail Yüksek,Fenerbahçe Spor Kulübü,36.6,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,41.0,Nehuen Pérez,FC Porto,DEF,41.5
GW 528,1,Extra DEF,387.2,Kasper Schmeichel,Celtic FC,98.1,John Souttar,Rangers FC,77.0,Morten Hjulmand,Sporting Clube de Portugal,68.0,Yunus Akgün,Galatasaray Spor Kulübü,72.6,Eren Elmalı,Galatasaray Spor Kulübü,DEF,71.5
GW 528,2,Extra DEF,311.1,Mert Günok,Fenerbahçe Spor Kulübü,68.6,António Silva,SL Benfica,63.4,Richard Ríos,SL Benfica,51.1,Leroy Sané,Galatasaray Spor Kulübü,66.3,Tomás Araújo,SL Benfica,DEF,61.7
GW 528,3,Extra DEF,288.1,Diogo Costa,FC Porto,56.9,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,60.2,Kristjan Asllani,Beşiktaş Jimnastik Kulübü,50.9,Bojan Miovski,Rangers FC,60.0,Anthony Ralston,Celtic FC,DEF,60.1
GW 528,4,Extra DEF,272.7,Anatolii Trubin,SL Benfica,44.7,Aleksa Terzić,FC Red Bull Salzburg,60.0,Kochorashvili,Sporting Clube de Portugal,50.3,Dodi Lukébakio,SL Benfica,58.5,Alexander Bah,SL Benfica,DEF,59.2
GW 527,1,Extra MID,342.7,Alexander Schlager,FC Red Bull Salzburg,66.5,Liam Scales,Celtic FC,66.5,N'Golo Kanté,Fenerbahçe Spor Kulübü,85.0,Bojan Miovski,Rangers FC,43.7,Hidemasa Morita,Sporting Clube de Portugal,MID,81.0
GW 527,2,Extra DEF,228.9,Ederson,Fenerbahçe Spor Kulübü,35.7,Zeno Debast,Sporting Clube de Portugal,57.6,Reo Hatate,Celtic FC,39.8,Oliver Antman,Rangers FC,40.8,Nicolás Otamendi,SL Benfica,DEF,55.0
GW 527,3,Extra FWD,144.1,Juan Castillo,Vitória Guimarães SC,35.5,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Arne Engels,Celtic FC,31.1,Daizen Maeda,Celtic FC,38.8,Fotis Ioannidis,Sporting Clube de Portugal,FWD,38.7
GW 527,4,Extra FWD,73.7,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Adam Montgomery,Celtic FC,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Dodi Lukébakio,SL Benfica,38.6,Hyeongyu Oh,Beşiktaş Jimnastik Kulübü,FWD,35.1
GW 526,1,Extra DEF,461.7,Kasper Schmeichel,Celtic FC,93.4,Adrian Barišić,Sporting Braga,94.9,Marco Asensio,Fenerbahçe Spor Kulübü,91.2,Benjamin Nygren,Celtic FC,89.2,Tomás Araújo,SL Benfica,DEF,93.0
GW 526,2,Extra FWD,422.2,André Onana,Trabzonspor Kulübü,79.2,John Souttar,Rangers FC,83.4,Mert Hakan Yandaş,Fenerbahçe Spor Kulübü,87.9,Victor Osimhen,Galatasaray Spor Kulübü,87.2,Ricardo Horta,Sporting Braga,FWD,84.5
GW 526,3,Extra MID,401.5,Jack Butland,Rangers FC,73.7,Alistair Johnston,Celtic FC,80.5,Mattéo Guendouzi,Fenerbahçe Spor Kulübü,84.3,Trincão,Sporting Clube de Portugal,80.6,Tochi Chukwuani,Rangers FC,MID,82.4
GW 526,4,Extra DEF,368.3,Mert Günok,Fenerbahçe Spor Kulübü,64.2,James Tavernier,Rangers FC,79.3,Hidemasa Morita,Sporting Clube de Portugal,78.4,Bruma,SL Benfica,68.7,Archibald Brown,Fenerbahçe Spor Kulübü,DEF,77.7
GW 525,1,Extra MID,447.6,André Onana,Trabzonspor Kulübü,80.1,Gustaf Lagerbielke,Sporting Braga,84.8,Manu,SL Benfica,100.0,Václav Černý,Beşiktaş Jimnastik Kulübü,88.3,Talisca,Fenerbahçe Spor Kulübü,MID,94.4
GW 525,2,Extra MID,408.6,Anatolii Trubin,SL Benfica,64.3,Óscar Rivas,Vitória Guimarães SC,84.1,Heorhii Sudakov,SL Benfica,93.2,Yunus Akgün,Galatasaray Spor Kulübü,75.9,Pedro Gonçalves,Sporting Clube de Portugal,MID,91.1
GW 525,3,Extra DEF,372.1,Mert Günok,Fenerbahçe Spor Kulübü,52.1,Saracchi,Celtic FC,83.3,Ernest Muçi,Trabzonspor Kulübü,83.5,Noa Lang,Galatasaray Spor Kulübü,71.3,Mathias Løvik,Trabzonspor Kulübü,DEF,81.9
GW 525,4,Extra MID,352.5,Kasper Schmeichel,Celtic FC,49.6,Wilfried Singo,Galatasaray Spor Kulübü,75.8,Oleksandr Zubkov,Trabzonspor Kulübü,79.2,Karim Konaté,FC Red Bull Salzburg,70.0,Arne Engels,Celtic FC,MID,77.9
GW 524,1,Extra DEF,424.3,Diogo Costa,FC Porto,85.1,Martim Fernandes,FC Porto,90.4,Okay Yokuşlu,Trabzonspor Kulübü,82.0,Trincão,Sporting Clube de Portugal,82.7,Saracchi,Celtic FC,DEF,84.1
GW 524,2,Extra FWD,383.2,Juan Castillo,Vitória Guimarães SC,74.8,Tuur Rommens,Rangers FC,74.3,Ernest Muçi,Trabzonspor Kulübü,74.8,Vangelis Pavlidis,SL Benfica,79.7,Ahmed Kutucu,Galatasaray Spor Kulübü,FWD,79.6
GW 524,3,Extra FWD,368.7,Alexander Schlager,FC Red Bull Salzburg,74.0,Tiago Djaló,Beşiktaş Jimnastik Kulübü,72.3,Daniel Bragança,Sporting Clube de Portugal,74.0,Bojan Miovski,Rangers FC,74.8,Noa Lang,Galatasaray Spor Kulübü,FWD,73.6
GW 524,4,Extra MID,357.9,Devis Vásquez,Beşiktaş Jimnastik Kulübü,69.1,Nehuen Pérez,FC Porto,70.7,Ilkay Gündogan,Galatasaray Spor Kulübü,72.9,Benjamin Nygren,Celtic FC,72.6,Fred,Fenerbahçe Spor Kulübü,MID,72.6
GW 523,1,Extra DEF,359.9,Jack Butland,Rangers FC,75.5,Auston Trusty,Celtic FC,80.8,Arne Engels,Celtic FC,87.2,Yang Hyun-Jun,Celtic FC,43.4,Alistair Johnston,Celtic FC,DEF,73.0
GW 523,2,Extra MID,316.0,Kasper Schmeichel,Celtic FC,68.9,Cameron Carter-Vickers,Celtic FC,72.7,Nedim Bajrami,Rangers FC,72.3,Yann Karamoh,FC Porto,34.4,Connor Barron,Rangers FC,MID,67.7
GW 523,3,Extra DEF,227.5,Devis Vásquez,Beşiktaş Jimnastik Kulübü,4.2,James Tavernier,Rangers FC,64.9,Joel Mvuka,Celtic FC,62.7,Daizen Maeda,Celtic FC,34.1,Anthony Ralston,Celtic FC,DEF,61.6
GW 523,4,Extra MID,144.2,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Liam Scales,Celtic FC,39.9,Paulo Bernardo,Celtic FC,53.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Nicolas Raskin,Rangers FC,MID,51.3
GW 522,1,Extra FWD,472.9,Rui Silva,Sporting Clube de Portugal,83.8,Alistair Johnston,Celtic FC,100.0,Ege Tıknaz,Sporting Braga,93.5,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,100.0,Samu Omorodion,FC Porto,FWD,95.6
GW 522,2,Extra DEF,442.5,Kasper Schmeichel,Celtic FC,73.2,Auston Trusty,Celtic FC,94.7,Hidemasa Morita,Sporting Clube de Portugal,90.8,Bruma,SL Benfica,90.0,Martim Fernandes,FC Porto,DEF,93.8
GW 522,3,Extra DEF,420.6,Diogo Costa,FC Porto,70.4,Gonçalo Inácio,Sporting Clube de Portugal,91.6,Gabriel Sara,Galatasaray Spor Kulübü,85.3,El Bilal Touré,Beşiktaş Jimnastik Kulübü,81.8,Wagner Pina,Trabzonspor Kulübü,DEF,91.5
GW 522,4,Extra DEF,392.5,Ederson,Fenerbahçe Spor Kulübü,69.3,Liam Scales,Celtic FC,83.4,Luke McCowan,Celtic FC,76.2,Václav Černý,Beşiktaş Jimnastik Kulübü,80.6,Nicolás Otamendi,SL Benfica,DEF,83.0
GW 521,1,Extra DEF,466.4,Kasper Schmeichel,Celtic FC,90.0,Felix Uduokhai,Beşiktaş Jimnastik Kulübü,100.0,Manu,SL Benfica,79.0,Václav Černý,Beşiktaş Jimnastik Kulübü,97.4,Gonçalo Inácio,Sporting Clube de Portugal,DEF,100.0
GW 521,2,Extra DEF,427.0,Ersin Destanoğlu,Beşiktaş Jimnastik Kulübü,83.4,Zeno Debast,Sporting Clube de Portugal,90.9,Connor Barron,Rangers FC,76.3,Yunus Akgün,Galatasaray Spor Kulübü,86.5,Tiago Djaló,Beşiktaş Jimnastik Kulübü,DEF,89.9
GW 521,3,Extra FWD,394.4,Jack Butland,Rangers FC,70.9,Wilfried Singo,Galatasaray Spor Kulübü,83.8,Gabriel Sara,Galatasaray Spor Kulübü,72.1,Nuno Santos,Sporting Clube de Portugal,84.3,Luis Suárez,Sporting Clube de Portugal,FWD,83.3
GW 521,4,Extra FWD,368.5,Diogo Costa,FC Porto,70.3,Nehuen Pérez,FC Porto,80.3,Rafa,SL Benfica,68.1,Noa Lang,Galatasaray Spor Kulübü,77.0,El Bilal Touré,Beşiktaş Jimnastik Kulübü,FWD,72.8
GW 520,1,Extra DEF,419.2,Mert Günok,Fenerbahçe Spor Kulübü,66.0,John Souttar,Rangers FC,95.0,Reo Hatate,Celtic FC,80.1,Luis Suárez,Sporting Clube de Portugal,90.7,Eren Elmalı,Galatasaray Spor Kulübü,DEF,87.4
GW 520,2,Extra FWD,379.7,Uğurcan Çakır,Galatasaray Spor Kulübü,64.1,Davinson Sánchez,Galatasaray Spor Kulübü,77.7,Richard Ríos,SL Benfica,77.3,Mauro Icardi,Galatasaray Spor Kulübü,81.6,Karim Konaté,FC Red Bull Salzburg,FWD,79.0
GW 520,3,Extra FWD,339.6,Rui Silva,Sporting Clube de Portugal,44.6,Adrian Barišić,Sporting Braga,77.6,Maho Dorgeles,Sporting Braga,71.9,Ahmed Kutucu,Galatasaray Spor Kulübü,74.1,Edmund Baidoo,FC Red Bull Salzburg,FWD,71.4
GW 520,4,Extra MID,319.9,André Onana,Trabzonspor Kulübü,41.5,Liam Scales,Celtic FC,68.8,Edin Višća,Trabzonspor Kulübü,71.2,Yunus Akgün,Galatasaray Spor Kulübü,67.3,Marco Asensio,Fenerbahçe Spor Kulübü,MID,71.1
GW 519,1,Extra DEF,309.3,Ederson,Fenerbahçe Spor Kulübü,67.0,Davinson Sánchez,Galatasaray Spor Kulübü,84.9,Richard Ríos,SL Benfica,48.6,Andreas Skov Olsen,Rangers FC,35.0,Nicolás Otamendi,SL Benfica,DEF,73.8
GW 519,2,Extra DEF,229.6,Diogo Costa,FC Porto,66.9,John Souttar,Rangers FC,61.9,Leandro Barreiro,SL Benfica,44.2,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,António Silva,SL Benfica,DEF,56.6
GW 519,3,Extra DEF,187.4,Juan Castillo,Vitória Guimarães SC,44.1,Jan Bednarek,FC Porto,53.3,Maximiliano Araújo,Sporting Clube de Portugal,39.9,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Anthony Ralston,Celtic FC,DEF,50.1
GW 519,4,Extra DEF,150.0,Kasper Schmeichel,Celtic FC,32.0,Jakub Kiwior,FC Porto,41.7,Milot Rashica,Beşiktaş Jimnastik Kulübü,38.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Saracchi,Celtic FC,DEF,38.3
GW 518,1,Extra DEF,426.4,Anatolii Trubin,SL Benfica,72.8,Milan Škriniar,Fenerbahçe Spor Kulübü,91.3,Kristjan Asllani,Beşiktaş Jimnastik Kulübü,100.0,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,87.9,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,DEF,74.4
GW 518,2,Extra FWD,331.5,Uğurcan Çakır,Galatasaray Spor Kulübü,69.3,Zeno Debast,Sporting Clube de Portugal,57.8,Heorhii Sudakov,SL Benfica,65.9,Luis Suárez,Sporting Clube de Portugal,73.1,Bojan Miovski,Rangers FC,FWD,65.4
GW 518,3,Extra MID,280.0,Diogo Costa,FC Porto,38.7,Mert Müldür,Fenerbahçe Spor Kulübü,52.8,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,63.7,Hyeongyu Oh,Beşiktaş Jimnastik Kulübü,64.8,Milot Rashica,Beşiktaş Jimnastik Kulübü,MID,60.0
GW 518,4,Extra MID,242.0,Kasper Schmeichel,Celtic FC,34.5,Liam Scales,Celtic FC,42.1,Hidemasa Morita,Sporting Clube de Portugal,57.3,Roland Sallai,Galatasaray Spor Kulübü,60.0,Mattéo Guendouzi,Fenerbahçe Spor Kulübü,MID,48.1
GW 517,1,Extra MID,380.2,Alexander Schlager,FC Red Bull Salzburg,64.6,Liam Scales,Celtic FC,90.1,Mattéo Guendouzi,Fenerbahçe Spor Kulübü,82.4,Vangelis Pavlidis,SL Benfica,70.0,Hidemasa Morita,Sporting Clube de Portugal,MID,73.1
GW 517,2,Extra FWD,273.7,Ederson,Fenerbahçe Spor Kulübü,37.4,Nicolás Otamendi,SL Benfica,62.4,Richard Ríos,SL Benfica,49.5,Hyeongyu Oh,Beşiktaş Jimnastik Kulübü,64.4,Bojan Miovski,Rangers FC,FWD,60.0
GW 517,3,Extra FWD,165.8,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Zeno Debast,Sporting Clube de Portugal,44.8,Florian Grillitsch,Sporting Braga,38.8,Yáser Asprilla,Galatasaray Spor Kulübü,43.7,Junior Adamu,Celtic FC,FWD,38.5
GW 517,4,Extra FWD,100.4,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Georgios Vagiannidis,Sporting Clube de Portugal,31.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Daizen Maeda,Celtic FC,35.4,Oliver Antman,Rangers FC,FWD,34.0
