Matched Club,Player,Position,games,avg_score,median_score,ceiling,floor,volatility,goals,assists
Fußballclub Red Bull Salzburg,Yorbe Vertessen,Forward,57,45.67894736842105,38.0,83.7,0.0,16.913696234139714,4.0,0.0
Beşiktaş Jimnastik Kulübü,Cengiz Ünder,Forward,28,45.635714285714286,40.099999999999994,82.1,0.0,19.991483636524276,5.0,3.0
Fußballclub Red Bull Salzburg,Soumaïla Diabaté,Midfielder,45,45.535555555555554,48.3,88.8,0.0,22.97652117385322,0.0,1.0
Beşiktaş Jimnastik Kulübü,Milot Rashica,Midfielder,69,45.50144927536232,41.7,98.0,0.0,21.295888119773007,7.0,13.0
Galatasaray Spor Kulübü,Mario Lemina,Midfielder,53,45.47735849056604,43.9,84.7,0.0,20.69012809483188,4.0,4.0
Fenerbahçe Spor Kulübü,Jayden Oosterwolde,Defender,55,45.42545454545455,45.6,77.8,10.3,15.211523631065074,0.0,1.0
Sporting Clube de Portugal,Zeno Debast,Defender,70,45.395714285714284,42.35,96.5,0.0,25.33872808147144,1.0,6.0
Fußballclub Red Bull Salzburg,Sota Kitano,Forward,38,45.28947368421053,41.7,87.8,0.0,20.472985357422466,0.0,2.0
Fenerbahçe Spor Kulübü,Edson Álvarez,Midfielder,18,45.01111111111111,44.150000000000006,71.3,0.0,16.67565639907075,0.0,1.0
Rangers Football Club,Mikey Moore,Forward,37,44.935135135135134,41.4,92.0,0.0,16.0385164216959,6.0,2.0
Sporting Clube de Portugal,Ousmane Diomande,Defender,73,44.77123287671233,43.3,88.7,0.0,22.556364459406378,3.0,2.0
Trabzonspor Kulübü,Edin Višća,Midfielder,48,44.699999999999996,45.35,100.0,0.0,22.102238261547463,4.0,7.0
Rangers Football Club,Tochi Chukwuani,Midfielder,11,44.69090909090909,41.4,69.8,0.0,20.256330099277832,2.0,0.0
Sporting Clube de Portugal,Hidemasa Morita,Midfielder,75,44.650666666666666,41.8,90.8,0.0,16.471854564462156,3.0,8.0
Sporting Clube de Braga,João Moutinho,Midfielder,86,44.627906976744185,45.9,94.1,0.0,17.537030744468158,2.0,5.0
Futebol Clube do Porto,Alan Varela,Midfielder,87,44.42873563218391,45.5,100.0,0.0,17.28287166630442,2.0,2.0
Futebol Clube do Porto,Borja Sainz,Midfielder,44,44.38636363636363,39.4,82.4,0.0,18.693508273880095,6.0,6.0
Sporting Clube de Portugal,Fotis Ioannidis,Forward,18,44.327777777777776,37.6,84.4,32.3,14.733627226241001,3.0,1.0
Sporting Clube de Portugal,Nuno Santos,Forward,17,44.141176470588235,45.3,84.3,0.0,20.96309432143575,1.0,2.0
Vitória Sport Clube,Samu,Midfielder,73,44.13835616438356,39.3,85.4,0.0,18.043686416098463,9.0,5.0
Fenerbahçe Spor Kulübü,Anthony Musaba,Forward,17,44.13529411764706,37.9,73.1,24.4,14.79906843252602,1.0,4.0
Trabzonspor Kulübü,Tim Jabol-Folcarelli,Midfielder,39,44.117948717948714,46.0,87.2,0.0,21.49568955315744,0.0,3.0
Fenerbahçe Spor Kulübü,İsmail Yüksek,Midfielder,79,43.846835443037975,43.9,99.5,0.0,23.205911246496356,2.0,5.0
Futebol Clube do Porto,Luuk de Jong,Forward,6,43.666666666666664,41.150000000000006,64.0,34.6,10.840233699817851,1.0,0.0
Fußballclub Red Bull Salzburg,Maurits Kjærgaard,Midfielder,38,43.623684210526314,42.2,100.0,0.0,26.659539484379764,2.0,2.0
Beşiktaş Jimnastik Kulübü,Ernest Muçi,Midfielder,43,43.574418604651164,40.0,83.5,0.0,17.802248293313642,5.0,4.0
Beşiktaş Jimnastik Kulübü,Emirhan Topçu,Defender,73,43.40547945205479,43.7,93.4,0.0,24.46350961926626,2.0,1.0
Galatasaray Spor Kulübü,Mauro Icardi,Forward,59,43.27457627118644,36.0,100.0,0.0,21.750898461191948,20.0,3.0
Sporting Clube de Braga,Sikou Niakaté,Defender,66,43.231818181818184,46.35,96.5,0.0,24.17957280968258,2.0,2.0
Galatasaray Spor Kulübü,Eren Elmalı,Defender,52,43.099999999999994,38.95,95.8,0.0,21.012890534799126,3.0,1.0
Sporting Clube de Braga,Florian Grillitsch,Midfielder,35,43.06857142857143,41.7,100.0,0.0,25.388415276501618,3.0,2.0
Sporting Clube de Portugal,Luis Guilherme,Forward,14,43.0,40.55,68.0,25.2,11.284298144562854,1.0,0.0
Sport Lisboa e Benfica,Leandro Barreiro,Midfielder,89,42.933707865168536,39.4,100.0,0.0,18.854851942598856,10.0,10.0
Sport Lisboa e Benfica,Dodi Lukébakio,Forward,24,42.7125,43.3,88.1,0.0,21.343633864029318,0.0,5.0
Fußballclub Red Bull Salzburg,Karim Konaté,Forward,30,42.70333333333333,37.650000000000006,81.9,0.0,18.976055389909664,0.0,1.0
Trabzonspor Kulübü,Anthony Nwakaeme,Midfielder,43,42.61162790697674,39.6,89.5,0.0,21.613148657839503,1.0,6.0
Fußballclub Red Bull Salzburg,Edmund Baidoo,Forward,64,42.4546875,40.25,83.6,0.0,19.28679892048461,2.0,0.0
Futebol Clube do Porto,Martim Fernandes,Defender,68,42.20735294117647,38.55,94.0,0.0,23.30778049696,1.0,8.0
Futebol Clube do Porto,Seko Fofana,Midfielder,18,42.138888888888886,39.650000000000006,69.3,0.0,19.897062712248847,3.0,1.0
The Celtic Football Club,Alex Oxlade-Chamberlain,Midfielder,9,42.06666666666667,44.0,71.2,0.0,19.55537010644391,2.0,0.0
The Celtic Football Club,Sebastian Tounekti,Forward,34,42.05588235294118,40.150000000000006,80.7,0.0,16.690973629869905,2.0,1.0
Sport Lisboa e Benfica,Alexander Bah,Defender,40,41.96,40.849999999999994,99.1,0.0,26.91926962090682,3.0,3.0
Fenerbahçe Spor Kulübü,Mert Müldür,Defender,89,41.7123595505618,39.9,100.0,0.0,25.10595646556953,4.0,7.0
Galatasaray Spor Kulübü,Ilkay Gündogan,Midfielder,37,41.70810810810811,40.6,99.5,0.0,22.622719386325606,2.0,4.0
Beşiktaş Jimnastik Kulübü,Rıdvan Yılmaz,Defender,29,41.56896551724138,39.1,97.5,0.0,25.145762259392964,0.0,1.0
Fußballclub Red Bull Salzburg,Alexander Schlager,Goalkeeper,71,41.530985915492955,38.7,81.0,0.0,18.899951561157092,0.0,1.0
Galatasaray Spor Kulübü,Sacha Boey,Defender,18,41.25555555555556,37.7,81.0,0.0,26.101503725494936,2.0,0.0
Fußballclub Red Bull Salzburg,Joane Gadou,Defender,60,41.230000000000004,43.3,93.8,0.0,23.846858159258556,0.0,0.0
Rangers Football Club,Nasser Djiga,Defender,41,41.18536585365853,44.8,100.0,0.0,28.740377180680923,0.0,0.0
Rangers Football Club,Ryan Naderi,Forward,8,40.9625,37.3,62.8,26.9,13.434915864482157,1.0,3.0
Galatasaray Spor Kulübü,Wilfried Singo,Defender,31,40.87096774193548,39.5,100.0,0.0,25.373321863043305,2.0,3.0
Sporting Clube de Braga,Lukáš Horníček,Goalkeeper,98,40.74387755102041,42.849999999999994,91.7,0.0,28.94533798377833,0.0,0.0
Vitória Sport Clube,Nélson Oliveira,Forward,70,40.55142857142857,36.650000000000006,72.8,0.0,12.805385448331153,8.0,5.0
Futebol Clube do Porto,Francisco Moura,Defender,84,40.542857142857144,42.75,93.4,0.0,27.010458865482548,7.0,13.0
Sporting Clube de Braga,Gabri Martínez,Forward,92,40.448913043478264,38.95,88.8,0.0,20.593200064959124,10.0,10.0
Rangers Football Club,Emmanuel Fernandez,Defender,38,40.31842105263158,45.599999999999994,89.5,0.0,31.695697169508147,5.0,0.0
The Celtic Football Club,Tomáš Čvančara,Forward,12,40.291666666666664,38.5,67.9,0.0,17.62686267827568,2.0,2.0
Rangers Football Club,Jayden Meghoma,Defender,42,40.24285714285715,43.9,82.3,0.0,22.81589243784235,1.0,6.0
Galatasaray Spor Kulübü,Ismail Jakobs,Defender,64,40.21875,39.25,100.0,0.0,22.556735347204157,0.0,3.0
Vitória Sport Clube,João Mendes,Defender,79,40.20126582278481,40.9,100.0,0.0,19.09908370517157,6.0,4.0
Vitória Sport Clube,Oumar Camara,Forward,32,40.1875,36.849999999999994,82.7,0.0,16.60345377984216,5.0,2.0
Fußballclub Red Bull Salzburg,Karim Onisiwo,Forward,40,40.0375,35.25,85.2,0.0,15.758525368665428,2.0,0.0
Fußballclub Red Bull Salzburg,Frans Krätzig,Defender,43,39.95116279069768,42.5,100.0,0.0,26.178747942822255,1.0,0.0
Beşiktaş Jimnastik Kulübü,Felix Uduokhai,Defender,70,39.92428571428571,44.55,100.0,0.0,27.437324814213625,0.0,0.0
Futebol Clube do Porto,Rodrigo Mora,Midfielder,82,39.78048780487805,40.7,94.9,0.0,23.63262778565695,15.0,6.0
Sport Lisboa e Benfica,António Silva,Defender,95,39.37789473684211,44.2,97.9,0.0,28.580953258030735,2.0,4.0
Rangers Football Club,Dujon Sterling,Defender,46,39.36521739130435,39.75,95.3,0.0,22.62882348187623,1.0,2.0
Vitória Sport Clube,Telmo Arcanjo,Midfielder,78,39.32435897435898,40.25,87.7,0.0,20.129594326900076,7.0,2.0
Fußballclub Red Bull Salzburg,Moussa Yeo,Midfielder,62,38.519354838709674,38.0,92.7,0.0,21.12537778270934,1.0,1.0
Trabzonspor Kulübü,Okay Yokuşlu,Midfielder,56,38.517857142857146,36.95,82.0,0.0,19.79833883888294,2.0,2.0
Beşiktaş Jimnastik Kulübü,Mert Günok,Goalkeeper,64,38.43125,38.0,83.2,0.0,22.642065606314166,0.0,0.0
Vitória Sport Clube,João Mendes,Midfielder,73,38.324657534246576,36.9,98.5,0.0,21.35096784705762,6.0,4.0
Trabzonspor Kulübü,Mathias Løvik,Defender,16,38.1875,38.2,68.9,0.0,18.45975351948124,0.0,2.0
Fußballclub Red Bull Salzburg,Tim Drexler,Defender,15,38.04,39.6,66.8,0.0,20.10873299979745,0.0,0.0
Rangers Football Club,Connor Barron,Midfielder,78,38.03076923076923,39.5,100.0,0.0,20.297183655267656,0.0,3.0
Rangers Football Club,Rıdvan Yılmaz,Defender,30,37.980000000000004,35.0,90.6,0.0,23.065594619961864,0.0,2.0
Futebol Clube do Porto,Pablo Rosario,Midfielder,42,37.904761904761905,40.95,74.1,0.0,21.40607336181011,2.0,1.0
Fenerbahçe Spor Kulübü,Sidiki Chérif,Forward,15,37.9,35.1,66.6,0.0,15.698407562552324,2.0,1.0
Rangers Football Club,Bojan Miovski,Forward,37,37.84054054054054,35.4,78.3,0.0,18.283378296199032,8.0,1.0
Sporting Clube de Braga,Bright Arrey-Mbi,Defender,78,37.83846153846154,37.9,87.5,0.0,24.076232990337065,0.0,0.0
Rangers Football Club,Nedim Bajrami,Midfielder,62,37.667741935483875,36.9,96.4,0.0,22.32557729096683,4.0,2.0
Trabzonspor Kulübü,Ozan Tufan,Midfielder,74,37.40405405405406,37.9,97.1,0.0,23.367014798638223,5.0,4.0
Sporting Clube de Braga,Leonardo Lelo,Defender,54,37.342592592592595,35.25,97.2,0.0,26.72307745420314,0.0,6.0
Sporting Clube de Braga,Fran Navarro,Forward,64,37.1515625,34.9,70.0,0.0,18.062141343173952,14.0,2.0
Fußballclub Red Bull Salzburg,Damir Redzic,Forward,10,37.05,37.15,64.9,0.0,16.172902577390918,0.0,0.0
Trabzonspor Kulübü,Umut Nayir,Forward,15,37.013333333333335,37.7,66.5,0.0,19.177548877590716,1.0,2.0
Vitória Sport Clube,Óscar Rivas,Defender,44,36.913636363636364,42.6,85.6,0.0,28.166437151655902,2.0,0.0
Sporting Clube de Portugal,Eduardo Quaresma,Defender,73,36.9013698630137,40.4,100.0,0.0,32.36247180656547,3.0,2.0
The Celtic Football Club,James Forrest,Midfielder,62,36.80483870967742,37.55,78.7,0.0,20.716639605180568,1.0,7.0
Fußballclub Red Bull Salzburg,Aleksa Terzić,Defender,64,36.659375,35.9,95.2,0.0,24.197079180616324,1.0,1.0
Sport Lisboa e Benfica,Andreas Schjelderup,Forward,91,36.42307692307692,38.2,89.3,0.0,26.106734239455776,12.0,12.0
Vitória Sport Clube,Alioune Ndoye,Forward,26,36.392307692307696,35.1,68.3,0.0,15.714755437535086,2.0,2.0
