player_id,player_name,team,position,games,avg_score,median_score,score_volatility,score_floor,score_ceiling,recent_form,longer_form,form_delta,consistency_index,score_per_eur
oumar-camara-2007-05-11,Oumar Camara,Vitória Guimarães SC,FWD,34,37.8235294117647,36.55,18.73740480111712,0.0,82.7,37.86,41.36666666666667,-3.5066666666666677,1.9163375222270318,
amar-dedic,Amar Dedić,SL Benfica,DEF,106,37.60566037735849,38.75,25.859760357555995,0.0,95.3,48.54,32.82,15.719999999999999,1.4000743073189608,
lukas-hornicek,Lukáš Horníček,Sporting Braga,GK,108,37.4,39.25,29.68318067447071,0.0,91.7,36.22,42.6,-6.380000000000003,1.218908834673645,
sebastian-tounekti,Sebastian Tounekti,Celtic FC,FWD,74,37.35675675675676,39.0,19.611145007759358,0.0,87.4,37.440000000000005,38.67333333333333,-1.2333333333333272,1.8124542204080984,
mario-dorgeles,Maho Dorgeles,Sporting Braga,MID,87,37.293103448275865,40.0,27.496472471867207,0.0,98.6,59.42,40.813333333333325,18.606666666666676,1.3086919261706171,
ernest-muci,Ernest Muçi,Trabzonspor Kulübü,MID,93,37.23225806451613,37.4,25.514715111813945,0.0,88.6,29.860000000000003,43.68666666666666,-13.826666666666657,1.4042111298388742,
joao-sabino-mendes-neto-saraiva,João Mendes,Vitória Guimarães SC,MID,81,37.22469135802469,36.9,21.37576040088514,0.0,98.5,15.440000000000001,31.06,-15.619999999999997,1.663616819768599,
milan-skriniar,Milan Škriniar,Fenerbahçe Spor Kulübü,DEF,116,37.206896551724135,37.8,32.59919103861037,0.0,100.0,22.339999999999996,13.120000000000001,9.219999999999995,1.1073747730702201,
telmo-emanuel-gomes-arcanjo,Telmo Arcanjo,Vitória Guimarães SC,MID,91,37.2021978021978,38.7,20.85381381597982,0.0,87.7,31.24,35.480000000000004,-4.2400000000000055,1.7023206162301532,
dodi-lukebakio,Dodi Lukébakio,SL Benfica,FWD,98,37.165306122448975,41.1,26.485573205986185,0.0,89.3,35.040000000000006,40.06666666666667,-5.026666666666664,1.352175042664004,
ozan-tufan,Ozan Tufan,Trabzonspor Kulübü,MID,75,36.90533333333333,37.0,23.60705284748912,0.0,97.1,55.160000000000004,45.27333333333333,9.88666666666667,1.4997868116132045,
samuel-omorodion-aghehowa,Samu Omorodion,FC Porto,FWD,104,36.89423076923077,35.75,27.70902845021756,0.0,95.6,0.0,0.0,0.0,1.2851089974433174,
gabriel-martinez-aguilera,Gabri Martínez,Sporting Braga,FWD,101,36.84455445544555,37.4,22.80442270809557,0.0,88.8,14.8,27.453333333333333,-12.653333333333332,1.547802898110829,
rui-tiago-dantas-da-silva,Rui Silva,Sporting Clube de Portugal,GK,112,36.75178571428571,40.75,27.25986054224226,0.0,83.8,49.739999999999995,48.7,1.039999999999992,1.3004942349007664,
